# Best_alpha = -0.998000 Best_beta = -0.998000 Best_Energy = -0.998000 index of best_ vals = 2
mean(E_l), std(E_l), Var(E_l), alpha, beta
-1.809698, 0.000000, 0.000000, -0.841000, 0.000000, 
-1.808554, 0.000000, 0.000000, -0.840000, 0.000000, 
-1.768306, 0.000000, 0.000000, -0.839000, 0.000000, 
-1.779398, 0.000000, 0.000000, -0.838000, 0.000000, 
-1.743420, 0.000000, 0.000000, -0.837000, 0.000000, 
-1.773977, 0.000000, 0.000000, -0.836000, 0.000000, 
-1.754113, 0.000000, 0.000000, -0.835000, 0.000000, 
-1.760655, 0.000000, 0.000000, -0.834000, 0.000000, 
-1.734656, 0.000000, 0.000000, -0.833000, 0.000000, 
-1.741859, 0.000000, 0.000000, -0.832000, 0.000000, 
-1.740681, 0.000000, 0.000000, -0.831000, 0.000000, 
-1.739503, 0.000000, 0.000000, -0.830000, 0.000000, 
-1.694762, 0.000000, 0.000000, -0.829000, 0.000000, 
-1.688355, 0.000000, 0.000000, -0.828000, 0.000000, 
-1.680897, 0.000000, 0.000000, -0.827000, 0.000000, 
-1.774616, 0.000000, 0.000000, -0.826000, 0.000000, 
-1.758229, 0.000000, 0.000000, -0.825000, 0.000000, 
-1.801527, 0.000000, 0.000000, -0.824000, 0.000000, 
-1.799708, 0.000000, 0.000000, -0.823000, 0.000000, 
-1.756232, 0.000000, 0.000000, -0.822000, 0.000000, 
-1.743429, 0.000000, 0.000000, -0.821000, 0.000000, 
-1.719978, 0.000000, 0.000000, -0.820000, 0.000000, 
-1.761911, 0.000000, 0.000000, -0.819000, 0.000000, 
-1.742322, 0.000000, 0.000000, -0.818000, 0.000000, 
-1.734613, 0.000000, 0.000000, -0.817000, 0.000000, 
-1.697557, 0.000000, 0.000000, -0.816000, 0.000000, 
-1.738139, 0.000000, 0.000000, -0.815000, 0.000000, 
-1.652278, 0.000000, 0.000000, -0.814000, 0.000000, 
-1.750979, 0.000000, 0.000000, -0.813000, 0.000000, 
-1.739818, 0.000000, 0.000000, -0.812000, 0.000000, 
-1.744808, 0.000000, 0.000000, -0.811000, 0.000000, 
-1.718229, 0.000000, 0.000000, -0.810000, 0.000000, 
-1.699822, 0.000000, 0.000000, -0.809000, 0.000000, 
-1.743640, 0.000000, 0.000000, -0.808000, 0.000000, 
-1.710195, 0.000000, 0.000000, -0.807000, 0.000000, 
-1.669306, 0.000000, 0.000000, -0.806000, 0.000000, 
-1.689413, 0.000000, 0.000000, -0.805000, 0.000000, 
-1.695572, 0.000000, 0.000000, -0.804000, 0.000000, 
-1.706244, 0.000000, 0.000000, -0.803000, 0.000000, 
-1.624076, 0.000000, 0.000000, -0.802000, 0.000000, 
-1.631394, 0.000000, 0.000000, -0.801000, 0.000000, 
-1.664720, 0.000000, 0.000000, -0.800000, 0.000000, 
-1.686733, 0.000000, 0.000000, -0.799000, 0.000000, 
-1.667796, 0.000000, 0.000000, -0.798000, 0.000000, 
-1.699520, 0.000000, 0.000000, -0.797000, 0.000000, 
-1.665954, 0.000000, 0.000000, -0.796000, 0.000000, 
-1.665892, 0.000000, 0.000000, -0.795000, 0.000000, 
-1.661449, 0.000000, 0.000000, -0.794000, 0.000000, 
-1.697225, 0.000000, 0.000000, -0.793000, 0.000000, 
-1.608548, 0.000000, 0.000000, -0.792000, 0.000000, 
-1.663310, 0.000000, 0.000000, -0.791000, 0.000000, 
